Taxonomy ID (NCBI Taxonomy),Scientific Name,Type,Rank,Source
470,Acinetobacter baumannii,Bacteria,Species,WHO
287,Pseudomonas aeruginosa,Bacteria,Species,WHO
543,Enterobacteriaceae,Bacteria,Family,WHO
1352,Enterococcus faecium,Bacteria,Species,WHO
1280,Staphylococcus aureus,Bacteria,Species,WHO
210,Helicobacter pylori,Bacteria,Species,WHO
194,Campylobacter,Bacteria,Genus,WHO
590,Salmonella,Bacteria,Genus,WHO
485,Neisseria gonorrhoeae,Bacteria,Species,WHO
1313,Streptococcus pneumoniae,Bacteria,Species,WHO
727,Haemophilus influenzae,Bacteria,Species,WHO
620,Shigella,Bacteria,Genus,WHO
1980519,Crimean-Congo hemorrhagic fever orthonairovirus,Virus,Species,WHO
1570291,Ebola virus,Virus,,WHO
11269,Marburg marburgvirus,Virus,Species,WHO
11620,Lassa mammarenavirus,Virus,Species,WHO
121791,Nipah henipavirus,Virus,Species,WHO
260964,Henipavirus,Virus,Genus,WHO
11588,Rift Valley fever virus,Virus,,WHO
64320,Zika virus,Virus,Species,WHO
10244,Monkeypox virus,Virus,Species,WHO
5207,Cryptococcus neoformans,Fungi,Species,WHO
498019,Candida auris,Fungi,Species,WHO
5476,Candida albicans,Fungi,Species,WHO
746128,Aspergillus fumigatus,Fungi,Species,WHO
5478,Nakaseomyces glabratus,Fungi,Species,WHO
5036,Histoplasma,Fungi,Genus,WHO
142796,Eumycetozoa,Eukaryote,Class,WHO
4827,Mucorales,Fungi,Order,WHO
5506,Fusarium,Fungi,Genus,WHO
5482,Candida tropicalis,Fungi,Species,WHO
5480,Candida parapsilosis,Fungi,Species,WHO
41687,Scedosporium,Fungi,Genus,WHO
1884637,Cryptococcus gattii species complex,Fungi,Species Group,WHO
41688,Lomentospora prolificans,Fungi,Species,WHO
37727,Talaromyces marneffei,Fungi,Species,WHO
5500,Coccidioides,Fungi,Genus,WHO
42068,Pneumocystis jirovecii,Fungi,Species,WHO
4909,Pichia kudriavzevii,Fungi,Species,WHO
38946,Paracoccidioides,Fungi,Genus,WHO
