Taxonomy ID,Scientific Name,Rank,Source
746128,Aspergillus fumigatus,Species,HSE (UK)
5052,Aspergillus spp,Genus,HSE (UK)
5039,Blastomyces dermatitidis,Species,HSE (UK)
2060905,Blastomyces parvus,Species,HSE (UK)
5476,Candida albicans,Species,HSE (UK)
1535326,Candida spp,Genus,HSE (UK)
5482,Candida tropicalis,Species,HSE (UK)
89940,Cladophialophora bantiana,Species,HSE (UK)
5501,Coccidioides immitis,Species,HSE (UK)
199306,Coccidioides posadasii,Species,HSE (UK)
37769,Cryptococcus gattii VGI,Species,HSE (UK)
552467,Cryptococcus gattii VGIII,Species,HSE (UK)
40410,Cryptococcus neoformans var. neoformans,Species,HSE (UK)
73230,Emmonsia crescens,Species,HSE (UK)
34391,Epidermophyton floccosum,Species,HSE (UK)
5583,Exophiala spp,Genus,HSE (UK)
86057,Fonsecaea compacta,Species,HSE (UK)
40355,Fonsecaea pedrosoi,Species,HSE (UK)
5506,Fusarium spp,Genus,HSE (UK)
43987,Geotrichum spp,Genus,HSE (UK)
278162,Histoplasma capsulatum var. capsulatum,Species,HSE (UK)
149546,Histoplasma capsulatum var. duboisii,Species,HSE (UK)
149547,Histoplasma capsulatum var. farciminosum,Species,HSE (UK)
42458,Lichtheimia corymbifera,Species,HSE (UK)
41688,Lomentospora prolificans,Species,HSE (UK)
100816,Madurella mycetomatis,Species,HSE (UK)
55193,Malassezia spp,Genus,HSE (UK)
34392,Microsporum spp,Genus,HSE (UK)
160030,Neotestudina rosatii,Species,HSE (UK)
121759,Paracoccidioides brasiliensis,Species,HSE (UK)
86056,Rhinocladiella mackenziei,Species,HSE (UK)
4840,Rhizomucor pusillus,Species,HSE (UK)
58291,Rhizopus microsporus,Species,HSE (UK)
90258,Saksenaea vasiformis,Species,HSE (UK)
563466,Scedosporium apiospermum,Species,HSE (UK)
5597,Scedosporium boydii,Species,HSE (UK)
561152,Scopulariopsis brevicaulis,Species,HSE (UK)
29908,Sporothrix schenckii,Species,HSE (UK)
37727,Talaromyces marneffei,Species,HSE (UK)
1489895,Trematosphaeria grisea,Species,HSE (UK)
5551,Trichophyton rubrum,Species,HSE (UK)
5550,Trichophyton spp,Genus,HSE (UK)
5552,Trichosporon spp,Genus,HSE (UK)
