Taxonomy ID,Scientific Name,classification,Rank,Source,Common Name
40050,Orbivirus alphaequi,viruses,species,SAPO,African horse sickness virus
10497,African swine fever virus,viruses,species,SAPO,African swine fever virus ASF
167791,Bauhinia variegata,eudicots,species,SAPO,Bauhinia variegata
11320,Influenza A virus,viruses,no rank,SAPO,Human Influenza A Virus
5865,Babesia bovis,apicomplexans,species,SAPO,Babesia bovis
5866,Babesia bigemina,apicomplexans,species,SAPO,Babesia bigemina
5871,Babesia caballi,apicomplexans,species,SAPO,Babesia caballi 
1392,Bacillus anthracis,firmicutes,species,SAPO,"anthrax, anthrax bacterium"
40051,Bluetongue virus,viruses,species,SAPO,Bluetongue virus group
11901,Bovine leukemia virus,viruses,species,SAPO,bovine leukemia virus BLV
235,Brucella abortus,bacteria,species,SAPO,Brucella melitensis bv. Abortus
29459,Brucella melitensis,bacteria,species,SAPO,Streptococcus Miletensis
236,Brucella ovis,bacteria,species,SAPO,Brucella melitensis bv. Ovis
29461,Brucella suis,bacteria,species,SAPO,Brucella melitensis bv. Suis
13373,Burkholderia mallei,bacteria,species,SAPO,Burkholderia mallei
11096,Classical swine fever virus,viruses,no rank,SAPO,Hog cholera virus
115425,Cochliomyia hominivorax,flies,species,SAPO,primary screw-worm
11022,Eastern equine encephalitis virus (STRAIN VA33[TEN BROECK]),viruses,no rank,SAPO,Eastern equine encephalitis virus (STRAIN VA33[TEN BROECK])
11025,Western equine encephalitis virus,viruses,species,SAPO,Western equine encephalitis virus
6211,Echinococcus multilocularis,flatworms,species,SAPO,Echinococcus multilocularis
6210,Echinococcus granulosus,flatworms,species,SAPO,Echinococcus granulosus
779,Ehrlichia ruminantium,bacteria,species,SAPO,heartwater rickettsia
11665,Equine infectious anemia virus,viruses,species,SAPO,equine infectious anemia virus EIAV
12110,Foot-and-mouth disease virus,viruses,species,SAPO,Foot and mouth disease virus
3052223,Henipavirus hendraense,viruses,species,SAPO,Henipavirus hendraense
149547,Histoplasma capsulatum var. Farciminosum,fungi,species,SAPO,Histoplasma capsulatum var. Farciminosum
11072,Japanese encephalitis virus,viruses,no rank,SAPO,Japanese encephalitis (JE) virus
59509,Lumpy skin disease virus,viruses,species,SAPO,Lumpy skin disease virus
2110,Mycoplasmopsis agalactiae,bacteria,species,SAPO,Mycoplasmopsis agalactiae 
40480,Mycoplasma capricolum subsp. Capripneumoniae,mycoplasmas,subspecies,SAPO,Mycoplasma capricolum capripneumoniae
44101,Mycoplasma mycoides subsp. mycoides SC,mycoplasmas,strain,SAPO,Mycoplasma mycoides subsp. mycoides SC
44100,Mycoplasma mycoides subsp. capri LC,mycoplasmas,no rank,SAPO,Mycoplasma mycoides subsp. capri LC
40477,Mycoplasma mycoides subsp. capri,mycoplasmas,subspecies,SAPO,Mycoplasma mycoides capri
2560319,avian paramyxovirus type 1,viruses,no rank,SAPO,Avian orthoavulavirus 1
3052225,Henipavirus nipahense,viruses,species,SAPO,Nipah henipavirus
2593991,peste-des-petits-ruminants virus,viruses,no rank,SAPO,peste-des-petits-ruminants virus
11292,Lyssavirus rabies,viruses,species,SAPO,Rabies lyssavirus
11588,Rift Valley Fever virus,viruses,no rank,SAPO,Rift Valley fever virus
11241,Rinderpest morbillivirus,viruses,no rank,SAPO,Rinderpest virus
11080,St. Louis encephalitis virus,viruses,no rank,SAPO,Saint Louis encephalitis virus
10266,Sheeppox virus,viruses,species,SAPO,sheep pox virus
186805,Goatpox virus,viruses,species,SAPO,Goatpox virus
12075,Swine vesicular disease virus,viruses,no rank,SAPO,Swine vesicular disease virus
118139,Teschovirus,viruses,genus,SAPO,Teschovirus
5874,Theileria annulata,apicomplexans,species,SAPO,Theileria annulata
5872,Theileria equi,apicomplexans,species,SAPO,Theileria equi
5875,Theileria parva,apicomplexans,species,SAPO,Theileria parva
6334,Trichinella spiralis,nematodes,species,SAPO,Trichinella spiralis
5691,Trypanosoma brucei,kinetoplastids,species,SAPO,Trypanosoma brucei
5692,Trypanosoma congolense,kinetoplastids,species,SAPO,Trypanosoma congolense
5694,Trypanosoma equiperdum,kinetoplastids,species,SAPO,Trypanosoma equiperdum
5697,Trypanosoma evansi,kinetoplastids,species,SAPO,Trypanosoma evansi
5701,Trypanosoma simiae,kinetoplastids,species,SAPO,Trypanosoma simiae
5699,Trypanosoma vivax,kinetoplastids,species,SAPO,Trypanosoma vivax
11036,Venezuelan equine encephalomyelitis virus,viruses,species,SAPO,Venezuelan equine encephalitis virus
11276,Vesicular stomatitis virus,viruses,species,SAPO,Vesicular stomatitis virus
11082,West Nile virus,viruses,no rank,SAPO,West Nile virus
11976,Rabbit hemorrhagic disease virus,viruses,species,SAPO,Rabbit hemorrhagic disease virus
